table_history_id,customer_id,postdate,changes
1790807,1670321,"2019-07-01 06:51:46","last_billed_date-^!^!^--^!^!^-2019-07-01 00:00:00@#@#@#next_bill_date-^!^!^-2019-07-01 -^!^!^-2019-08-01 @#@#@#"
1903583,1634015,"2019-08-01 06:50:23","last_billed_date-^!^!^-2019-07-01 -^!^!^-2019-08-01 @#@#@#next_bill_date-^!^!^-2019-08-01 -^!^!^-2019-09-01 @#@#@#"
1916024,1670321,"2019-08-01 06:51:34","last_billed_date-^!^!^-2019-07-01 -^!^!^-2019-08-01 @#@#@#next_bill_date-^!^!^-2019-08-01 -^!^!^-2019-09-01 @#@#@#"
2029793,1634015,"2019-09-01 08:24:09","last_billed_date-^!^!^-2019-08-01 -^!^!^-2019-09-01 @#@#@#next_bill_date-^!^!^-2019-09-01 -^!^!^-2019-10-01 @#@#@#"
2041889,1670321,"2019-09-01 08:25:19","last_billed_date-^!^!^-2019-08-01 -^!^!^-2019-09-01 @#@#@#next_bill_date-^!^!^-2019-09-01 -^!^!^-2019-10-01 @#@#@#"
2142730,1634015,"2019-10-01 04:00:50","last_billed_date-^!^!^-2019-09-01 -^!^!^-2019-10-01 @#@#@#next_bill_date-^!^!^-2019-10-01 -^!^!^-2019-11-01 @#@#@#"
2155058,1670321,"2019-10-01 04:02:05","last_billed_date-^!^!^-2019-09-01 -^!^!^-2019-10-01 @#@#@#next_bill_date-^!^!^-2019-10-01 -^!^!^-2019-11-01 @#@#@#"
2263622,1634015,"2019-11-01 06:59:09","last_billed_date-^!^!^-2019-10-01 -^!^!^-2019-11-01 @#@#@#next_bill_date-^!^!^-2019-11-01 -^!^!^-2019-12-01 @#@#@#"
2276181,1670321,"2019-11-01 07:00:20","last_billed_date-^!^!^-2019-10-01 -^!^!^-2019-11-01 @#@#@#next_bill_date-^!^!^-2019-11-01 -^!^!^-2019-12-01 @#@#@#"
2382382,1618630,"2019-11-24 16:11:55","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-BILLME@#@#@#eft_dues_amount-^!^!^-0-^!^!^-68@#@#@#next_bill_date-^!^!^--^!^!^-2019-12-01 00:00:00@#@#@#is_billable-^!^!^-0-^!^!^-1@#@#@#"
2409191,1634015,"2019-12-01 06:11:03","last_billed_date-^!^!^-2019-11-01 -^!^!^-2019-12-01 @#@#@#next_bill_date-^!^!^-2019-12-01 -^!^!^-2020-01-01 @#@#@#"
2418847,1618630,"2019-12-01 06:11:53","last_billed_date-^!^!^--^!^!^-2019-12-01 00:00:00@#@#@#next_bill_date-^!^!^-2019-12-01 -^!^!^-2020-01-01 @#@#@#"
2422365,1670321,"2019-12-01 06:12:13","last_billed_date-^!^!^-2019-11-01 -^!^!^-2019-12-01 @#@#@#next_bill_date-^!^!^-2019-12-01 -^!^!^-2020-01-01 @#@#@#"
2496974,1634015,"2019-12-18 18:28:13",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
2496975,1634015,"2019-12-18 18:28:13",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
2557814,1634015,"2020-01-01 07:19:09","last_billed_date-^!^!^-2019-12-01 -^!^!^-2020-01-01 @#@#@#next_bill_date-^!^!^-2020-01-01 -^!^!^-2020-02-01 @#@#@#"
2567742,1618630,"2020-01-01 07:20:09","last_billed_date-^!^!^-2019-12-01 -^!^!^-2020-01-01 @#@#@#next_bill_date-^!^!^-2020-01-01 -^!^!^-2020-02-01 @#@#@#"
2571398,1670321,"2020-01-01 07:20:29","last_billed_date-^!^!^-2019-12-01 -^!^!^-2020-01-01 @#@#@#next_bill_date-^!^!^-2020-01-01 -^!^!^-2020-02-01 @#@#@#"
2604334,1670321,"2020-01-04 16:19:59",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
2604341,1670321,"2020-01-04 16:20:22",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
2723763,1634015,"2020-02-01 06:49:32","last_billed_date-^!^!^-2020-01-01 -^!^!^-2020-02-01 @#@#@#next_bill_date-^!^!^-2020-02-01 -^!^!^-2020-03-01 @#@#@#"
2734031,1618630,"2020-02-01 06:50:32","last_billed_date-^!^!^-2020-01-01 -^!^!^-2020-02-01 @#@#@#next_bill_date-^!^!^-2020-02-01 -^!^!^-2020-03-01 @#@#@#"
2737891,1670321,"2020-02-01 06:50:52","last_billed_date-^!^!^-2020-01-01 -^!^!^-2020-02-01 @#@#@#next_bill_date-^!^!^-2020-02-01 -^!^!^-2020-03-01 @#@#@#"
2753992,1670321,"2020-02-01 14:29:45",current_status-^!^!^-OK-^!^!^-FROZEN@#@#@#
2765945,1670321,"2020-02-04 16:15:47",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
2871227,1634015,"2020-03-01 07:22:33","last_billed_date-^!^!^-2020-02-01 -^!^!^-2020-03-01 @#@#@#next_bill_date-^!^!^-2020-03-01 -^!^!^-2020-04-01 @#@#@#"
2881565,1618630,"2020-03-01 07:23:33","last_billed_date-^!^!^-2020-02-01 -^!^!^-2020-03-01 @#@#@#next_bill_date-^!^!^-2020-03-01 -^!^!^-2020-04-01 @#@#@#"
2885467,1670321,"2020-03-01 07:23:53","last_billed_date-^!^!^-2020-02-01 -^!^!^-2020-03-01 @#@#@#next_bill_date-^!^!^-2020-03-01 -^!^!^-2020-04-01 @#@#@#"
2915970,1670321,"2020-03-05 21:57:31",do_not_mail-^!^!^-1-^!^!^-0@#@#@#
2918756,1670321,"2020-03-06 19:09:02",current_status-^!^!^-OK-^!^!^-FROZEN@#@#@#
2949824,1670321,"2020-03-15 15:14:09",punch_card_type-^!^!^-UNKNOWN-^!^!^-SCAN_ME@#@#@#
2962219,1634015,"2020-04-01 16:12:16","last_billed_date-^!^!^-2020-03-01 -^!^!^-2020-04-01 @#@#@#next_bill_date-^!^!^-2020-04-01 -^!^!^-2020-05-01 @#@#@#"
2966197,1618630,"2020-04-01 16:12:46","last_billed_date-^!^!^-2020-03-01 -^!^!^-2020-04-01 @#@#@#next_bill_date-^!^!^-2020-04-01 -^!^!^-2020-05-01 @#@#@#"
2967727,1670321,"2020-04-01 16:12:56","last_billed_date-^!^!^-2020-03-01 -^!^!^-2020-04-01 @#@#@#next_bill_date-^!^!^-2020-04-01 -^!^!^-2020-05-01 @#@#@#"
2972522,1618630,"2020-04-24 13:48:47",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
2972524,1618630,"2020-04-24 13:48:56",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
2975150,1634015,"2020-05-01 09:20:21","last_billed_date-^!^!^-2020-04-01 -^!^!^-2020-05-01 @#@#@#next_bill_date-^!^!^-2020-05-01 -^!^!^-2020-06-01 @#@#@#"
2979308,1618630,"2020-05-01 09:20:56","last_billed_date-^!^!^-2020-04-01 -^!^!^-2020-05-01 @#@#@#next_bill_date-^!^!^-2020-05-01 -^!^!^-2020-06-01 @#@#@#"
2980864,1670321,"2020-05-01 09:21:06","last_billed_date-^!^!^-2020-04-01 -^!^!^-2020-05-01 @#@#@#next_bill_date-^!^!^-2020-05-01 -^!^!^-2020-06-01 @#@#@#"
2993490,1634015,"2020-06-01 10:56:24",next_bill_date-^!^!^-2020-06-01-^!^!^-2020-07-01@#@#@#last_bill_date-^!^!^-2020-05-01-^!^!^-2020-06-01@#@#@#
2995181,1618630,"2020-06-01 10:56:28",next_bill_date-^!^!^-2020-06-01-^!^!^-2020-07-01@#@#@#last_bill_date-^!^!^-2020-05-01-^!^!^-2020-06-01@#@#@#
2995810,1670321,"2020-06-01 10:56:30",next_bill_date-^!^!^-2020-06-01-^!^!^-2020-07-01@#@#@#last_bill_date-^!^!^-2020-05-01-^!^!^-2020-06-01@#@#@#
3088719,1634015,"2020-07-01 15:01:49","facility_waiver-^!^!^-0-^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2020-07-01 15:01:49@#@#@#"
3107392,1634015,"2020-07-02 15:24:02",next_bill_date-^!^!^-2020-07-01-^!^!^-2020-08-01@#@#@#last_bill_date-^!^!^-2020-06-01-^!^!^-2020-07-02@#@#@#
3109629,1670321,"2020-07-02 15:24:10",next_bill_date-^!^!^-2020-07-01-^!^!^-2020-08-01@#@#@#last_bill_date-^!^!^-2020-06-01-^!^!^-2020-07-02@#@#@#
3167620,1618630,"2020-07-15 10:36:03",current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#
3167621,1618630,"2020-07-15 10:36:18","membership_exp_date-^!^!^--^!^!^-2020-08-15 10:35:59@#@#@#membership_start_date-^!^!^--^!^!^-2020-07-15 10:35:59@#@#@#membership_form_of_payment-^!^!^-BILLME-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
3167625,1618630,"2020-07-15 10:36:53","facility_waiver-^!^!^-0-^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2020-07-15 10:36:53@#@#@#"
3175768,1670321,"2020-07-18 08:53:02","facility_waiver-^!^!^-0-^!^!^-1@#@#@#facility_waiver_date-^!^!^--^!^!^-2020-07-18 08:53:02@#@#@#"
3176349,1670321,"2020-07-18 12:54:05",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
3176350,1670321,"2020-07-18 12:54:05",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
3218180,1634015,"2020-08-01 06:49:06","last_billed_date-^!^!^-2020-07-02 -^!^!^-2020-08-01 @#@#@#next_bill_date-^!^!^-2020-08-01 -^!^!^-2020-09-01 @#@#@#"
3227343,1670321,"2020-08-01 06:50:08","last_billed_date-^!^!^-2020-07-02 -^!^!^-2020-08-01 @#@#@#next_bill_date-^!^!^-2020-08-01 -^!^!^-2020-09-01 @#@#@#"
3283801,1618630,"2020-08-16 19:15:34","membership_exp_date-^!^!^-2020-08-15 -^!^!^-2020-09-16 @#@#@#membership_start_date-^!^!^-2020-07-15 -^!^!^-2020-08-16 @#@#@#"
3283803,1618630,"2020-08-16 19:15:40",current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#
3283804,1618630,"2020-08-16 19:15:46",current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#
3331037,1634015,"2020-09-01 04:00:28",current_status-^!^!^-OK-^!^!^-FROZEN@#@#@#
3334003,1634015,"2020-09-01 11:04:26","last_billed_date-^!^!^-2020-08-01 -^!^!^-2020-09-01 @#@#@#next_bill_date-^!^!^-2020-09-01 -^!^!^-2020-10-01 @#@#@#"
3342700,1670321,"2020-09-01 11:05:26","last_billed_date-^!^!^-2020-08-01 -^!^!^-2020-09-01 @#@#@#next_bill_date-^!^!^-2020-09-01 -^!^!^-2020-10-01 @#@#@#"
3474836,1618630,"2020-09-24 19:28:00","membership_exp_date-^!^!^-2020-09-16 -^!^!^-2020-10-24 @#@#@#membership_start_date-^!^!^-2020-08-16 -^!^!^-2020-09-24 @#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
3474837,1618630,"2020-09-24 19:28:20","membership_exp_date-^!^!^-2020-09-16 -^!^!^-2020-10-24 @#@#@#membership_start_date-^!^!^-2020-08-16 -^!^!^-2020-09-24 @#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
3509119,1634015,"2020-10-01 06:06:48","last_billed_date-^!^!^-2020-09-01 -^!^!^-2020-10-01 @#@#@#next_bill_date-^!^!^-2020-10-01 -^!^!^-2020-11-01 @#@#@#"
3518039,1670321,"2020-10-01 06:07:39","last_billed_date-^!^!^-2020-09-01 -^!^!^-2020-10-01 @#@#@#next_bill_date-^!^!^-2020-10-01 -^!^!^-2020-11-01 @#@#@#"
3732389,1634015,"2020-11-01 05:07:17","last_billed_date-^!^!^-2020-10-01 -^!^!^-2020-11-01 @#@#@#next_bill_date-^!^!^-2020-11-01 -^!^!^-2020-12-01 @#@#@#"
3741965,1670321,"2020-11-01 05:07:57","last_billed_date-^!^!^-2020-10-01 -^!^!^-2020-11-01 @#@#@#next_bill_date-^!^!^-2020-11-01 -^!^!^-2020-12-01 @#@#@#"
3941590,1618630,"2020-12-20 15:12:21","membership_exp_date-^!^!^-2020-10-24 -^!^!^-2021-01-19 @#@#@#membership_start_date-^!^!^-2020-09-24 -^!^!^-2020-12-20 @#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
3941591,1618630,"2020-12-20 15:12:21","membership_exp_date-^!^!^-2020-10-24 -^!^!^-2021-01-19 @#@#@#membership_start_date-^!^!^-2020-09-24 -^!^!^-2020-12-20 @#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
3941911,1618630,"2020-12-20 16:01:52",do_not_mail-^!^!^-0-^!^!^-1@#@#@#
4002678,1634015,"2021-01-01 10:13:26","last_billed_date-^!^!^-2020-11-01 -^!^!^-2021-01-01 @#@#@#next_bill_date-^!^!^-2020-12-01 -^!^!^-2021-02-01 @#@#@#"
4011982,1670321,"2021-01-01 10:15:25","last_billed_date-^!^!^-2020-11-01 -^!^!^-2021-01-01 @#@#@#next_bill_date-^!^!^-2020-12-01 -^!^!^-2021-02-01 @#@#@#"
4264745,1634015,"2021-02-01 09:55:55","last_billed_date-^!^!^-2021-01-01 -^!^!^-2021-02-01 @#@#@#next_bill_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#"
4274245,1670321,"2021-02-01 09:58:05","last_billed_date-^!^!^-2021-01-01 -^!^!^-2021-02-01 @#@#@#next_bill_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#"
4531261,1618630,"2021-02-27 13:36:26","customer_type-^!^!^-MEMBER-^!^!^-GUEST@#@#@#membership_exp_date-^!^!^-2021-01-19 -^!^!^-0000-00-00 @#@#@#membership_start_date-^!^!^-2020-12-20 -^!^!^-0000-00-00 @#@#@#membership_form_of_payment-^!^!^-PREPAID-^!^!^-NONE@#@#@#last_billed_date-^!^!^-2020-06-01 -^!^!^-0000-00-00 @#@#@#next_bill_date-^!^!^-2020-07-01 -^!^!^-0000-00-00 @#@#@#"
4554682,1634015,"2021-03-01 10:05:59","last_billed_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#next_bill_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#"
4565011,1670321,"2021-03-01 10:08:35","last_billed_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#next_bill_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#"
4773476,1618630,"2021-03-22 19:37:13","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2021-05-22 19:34:53@#@#@#membership_start_date-^!^!^--^!^!^-2021-03-22 19:34:53@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
4773477,1618630,"2021-03-22 19:37:21","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2021-05-22 19:34:53@#@#@#membership_start_date-^!^!^--^!^!^-2021-03-22 19:34:53@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
4863513,1634015,"2021-04-01 10:39:56","last_billed_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#next_bill_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#"
4874028,1670321,"2021-04-01 10:43:00","last_billed_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#next_bill_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#"
5149815,1634015,"2021-05-01 07:16:10","last_billed_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#next_bill_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#"
5160509,1670321,"2021-05-01 07:18:20","last_billed_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#next_bill_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#"
5185098,1634015,"2021-05-03 08:05:06",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5185100,1634015,"2021-05-03 08:06:36",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5400656,1634015,"2021-06-01 05:20:34","last_billed_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#next_bill_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#"
5411693,1670321,"2021-06-01 05:22:52","last_billed_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#next_bill_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#"
5505880,1634015,"2021-07-01 02:32:06","last_billed_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#next_bill_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#"
5521550,1670321,"2021-07-01 02:35:22","last_billed_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#next_bill_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#"
5629671,1634015,"2021-08-01 14:20:17","last_billed_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#next_bill_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#"
5645126,1670321,"2021-08-01 14:23:59","last_billed_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#next_bill_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#"
5677952,1634015,"2021-08-07 19:42:38",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5677953,1634015,"2021-08-07 19:42:43",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5714687,1618630,"2021-08-20 16:15:16","customer_type-^!^!^-MEMBER-^!^!^-GUEST@#@#@#membership_exp_date-^!^!^-2021-05-22 -^!^!^-0000-00-00 @#@#@#membership_start_date-^!^!^-2021-03-22 -^!^!^-0000-00-00 @#@#@#membership_form_of_payment-^!^!^-PREPAID-^!^!^-NONE@#@#@#"
5750459,1634015,"2021-09-01 07:16:05","last_billed_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#next_bill_date-^!^!^-2021-09-01 -^!^!^-2021-10-01 @#@#@#"
5765465,1670321,"2021-09-01 07:19:32","last_billed_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#next_bill_date-^!^!^-2021-09-01 -^!^!^-2021-10-01 @#@#@#"
5783955,1670321,"2021-09-03 11:04:03","customer_type-^!^!^-MEMBER-^!^!^-PUNCH CARD@#@#@#membership_form_of_payment-^!^!^-BILLME-^!^!^-NONE@#@#@#last_billed_date-^!^!^-2021-09-01 -^!^!^-0000-00-00 @#@#@#eft_dues_amount-^!^!^-56-^!^!^-0@#@#@#next_bill_date-^!^!^-2021-10-01 -^!^!^-0000-00-00 @#@#@#"
5783956,1670321,"2021-09-03 11:04:30","customer_type-^!^!^-PUNCH CARD-^!^!^-MEMBER@#@#@#"
5783962,1670321,"2021-09-03 11:06:39","customer_type-^!^!^-MEMBER-^!^!^-PUNCH CARD@#@#@#current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#"
5783963,1670321,"2021-09-03 11:06:53","customer_type-^!^!^-MEMBER-^!^!^-PUNCH CARD@#@#@#current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#"
5856032,1634015,"2021-10-01 05:12:05","last_billed_date-^!^!^-2021-09-01 -^!^!^-2021-10-01 @#@#@#next_bill_date-^!^!^-2021-10-01 -^!^!^-2021-11-01 @#@#@#"
5989872,1634015,"2021-11-01 07:29:41",next_bill_date-^!^!^-2021-11-01-^!^!^-2021-12-01@#@#@#last_bill_date-^!^!^-2021-10-01-^!^!^-2021-11-01@#@#@#
6094185,1634015,"2021-11-24 16:35:32",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
6094186,1634015,"2021-11-24 16:35:32",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
6138963,1634015,"2021-12-01 07:35:37",next_bill_date-^!^!^-2021-12-01-^!^!^-2022-01-01@#@#@#last_bill_date-^!^!^-2021-11-01-^!^!^-2021-12-01@#@#@#
6313353,1634015,"2022-01-01 07:29:54",next_bill_date-^!^!^-2022-01-01-^!^!^-2022-02-01@#@#@#last_bill_date-^!^!^-2021-12-01-^!^!^-2022-01-01@#@#@#
6471594,1634015,"2022-02-01 06:44:41","last_billed_date-^!^!^-2022-01-01 -^!^!^-2022-02-01 @#@#@#next_bill_date-^!^!^-2022-02-01 -^!^!^-2022-03-01 @#@#@#"
6583071,1618630,"2022-02-19 14:26:46","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2022-03-20 14:26:34@#@#@#membership_start_date-^!^!^--^!^!^-2022-02-19 14:26:34@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
6583072,1618630,"2022-02-19 14:26:52","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2022-03-20 14:26:34@#@#@#membership_start_date-^!^!^--^!^!^-2022-02-19 14:26:34@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
6644540,1634015,"2022-03-01 07:32:34",next_bill_date-^!^!^-2022-03-01-^!^!^-2022-04-01@#@#@#last_bill_date-^!^!^-2022-02-01-^!^!^-2022-03-01@#@#@#
